patent_code,priority_date,url
US2549986A,1945-01-20,https://patents.google.com/patent/US2549986A/en
US2618696A,1945-01-20,https://patents.google.com/patent/US2618696A/en
US2401255A,1945-02-02,https://patents.google.com/patent/US2401255A/en
US2627305A,1945-01-11,https://patents.google.com/patent/US2627305A/en
SU69802A1,1945-02-10,https://patents.google.com/patent/SU69802A1/en
US2585787A,1945-01-29,https://patents.google.com/patent/US2585787A/en
US2462863A,1945-03-01,https://patents.google.com/patent/US2462863A/en
US2490816A,1945-01-19,https://patents.google.com/patent/US2490816A/en
US2605742A,1945-02-09,https://patents.google.com/patent/US2605742A/en
US2454699A,1945-02-12,https://patents.google.com/patent/US2454699A/en
US2440299A,1945-01-26,https://patents.google.com/patent/US2440299A/en
US2403056A,1945-02-22,https://patents.google.com/patent/US2403056A/en
US2383898A,1945-01-22,https://patents.google.com/patent/US2383898A/en
US2572899A,1945-02-23,https://patents.google.com/patent/US2572899A/en
US2437978A,1945-02-20,https://patents.google.com/patent/US2437978A/en
US2440282A,1945-01-20,https://patents.google.com/patent/US2440282A/en
US2489419A,1945-02-10,https://patents.google.com/patent/US2489419A/en
DE828067C,1945-01-04,https://patents.google.com/patent/DE828067C/en
US2428565A,1945-02-22,https://patents.google.com/patent/US2428565A/en
GB603907A,1945-01-04,https://patents.google.com/patent/GB603907A/en
AU129636B2,,https://patents.google.com/patent/AU129636B2/en
US2498286A,1945-02-24,https://patents.google.com/patent/US2498286A/en
AU1934045A,,https://patents.google.com/patent/AU1934045A/en
IE16834L,1945-01-19,https://patents.google.com/patent/IE16834L/en
US2464529A,1945-01-31,https://patents.google.com/patent/US2464529A/en
US2499440A,1945-01-27,https://patents.google.com/patent/US2499440A/en
US2410591A,1945-02-12,https://patents.google.com/patent/US2410591A/en
US2516085A,1945-02-14,https://patents.google.com/patent/US2516085A/en
US2404698A,1945-01-04,https://patents.google.com/patent/US2404698A/en
US2603405A,1945-02-14,https://patents.google.com/patent/US2603405A/en
US2475616A,1945-02-09,https://patents.google.com/patent/US2475616A/en
US2430187A,1945-01-31,https://patents.google.com/patent/US2430187A/en
US2604983A,1945-02-09,https://patents.google.com/patent/US2604983A/en
US2479213A,1945-01-08,https://patents.google.com/patent/US2479213A/en
US2598702A,1945-01-19,https://patents.google.com/patent/US2598702A/en
US2462398A,1945-03-01,https://patents.google.com/patent/US2462398A/en
US2552332A,1945-01-30,https://patents.google.com/patent/US2552332A/en
US2468636A,1945-02-28,https://patents.google.com/patent/US2468636A/en
US2588371A,1945-01-15,https://patents.google.com/patent/US2588371A/en
US2412638A,1945-01-08,https://patents.google.com/patent/US2412638A/en
US2547754A,1945-01-15,https://patents.google.com/patent/US2547754A/en
US2437977A,1945-02-20,https://patents.google.com/patent/US2437977A/en
US2477406A,1945-02-09,https://patents.google.com/patent/US2477406A/en
US2821853A,1945-02-03,https://patents.google.com/patent/US2821853A/en
US2644083A,1945-02-27,https://patents.google.com/patent/US2644083A/en
US2480513A,1945-02-27,https://patents.google.com/patent/US2480513A/en
US2539340A,1945-02-01,https://patents.google.com/patent/US2539340A/en
US2509231A,1945-02-15,https://patents.google.com/patent/US2509231A/en
FR909540A,1945-02-26,https://patents.google.com/patent/FR909540A/en
US2962694A,1945-02-01,https://patents.google.com/patent/US2962694A/en
USPP668P,,https://patents.google.com/patent/USPP668P/en
DE806353C,1945-02-01,https://patents.google.com/patent/DE806353C/en
US2465587A,1945-02-24,https://patents.google.com/patent/US2465587A/en
CH239200A,1945-01-19,https://patents.google.com/patent/CH239200A/en
US2598274A,1945-01-19,https://patents.google.com/patent/US2598274A/en
US2527050A,1945-01-15,https://patents.google.com/patent/US2527050A/en
DE839915C,1945-02-26,https://patents.google.com/patent/DE839915C/en
US2498259A,1945-02-22,https://patents.google.com/patent/US2498259A/en
US2478981A,1945-01-18,https://patents.google.com/patent/US2478981A/en
US2506363A,1945-01-11,https://patents.google.com/patent/US2506363A/en
US2399365A,1945-02-28,https://patents.google.com/patent/US2399365A/en
US2467401A,1945-01-23,https://patents.google.com/patent/US2467401A/en
US2486888A,1945-02-05,https://patents.google.com/patent/US2486888A/en
US2495690A,1945-01-27,https://patents.google.com/patent/US2495690A/en
US2483413A,1945-01-03,https://patents.google.com/patent/US2483413A/en
US2417827A,1945-02-21,https://patents.google.com/patent/US2417827A/en
US2578366A,1945-02-23,https://patents.google.com/patent/US2578366A/en
US2451791A,1945-01-25,https://patents.google.com/patent/US2451791A/en
US2521602A,1945-02-23,https://patents.google.com/patent/US2521602A/en
US2391291A,1945-01-02,https://patents.google.com/patent/US2391291A/en
US2432698A,1945-02-15,https://patents.google.com/patent/US2432698A/en
GB637502A,1945-02-08,https://patents.google.com/patent/GB637502A/en
US2441838A,1945-02-03,https://patents.google.com/patent/US2441838A/en
DE901833C,1945-02-20,https://patents.google.com/patent/DE901833C/en
US2384158A,1945-02-12,https://patents.google.com/patent/US2384158A/en
US2571343A,1945-01-25,https://patents.google.com/patent/US2571343A/en
FR994160A,1945-01-04,https://patents.google.com/patent/FR994160A/en
US2464493A,1945-02-08,https://patents.google.com/patent/US2464493A/en
GB588331A,1945-02-09,https://patents.google.com/patent/GB588331A/en
US2609056A,1945-01-04,https://patents.google.com/patent/US2609056A/en
US2516187A,1945-02-24,https://patents.google.com/patent/US2516187A/en
US2433509A,1945-02-21,https://patents.google.com/patent/US2433509A/en
US2431202A,1945-03-01,https://patents.google.com/patent/US2431202A/en
CH259093A,1945-01-10,https://patents.google.com/patent/CH259093A/en
US2427849A,1945-02-28,https://patents.google.com/patent/US2427849A/en
US2448107A,1945-02-22,https://patents.google.com/patent/US2448107A/en
US2407249A,1945-01-17,https://patents.google.com/patent/US2407249A/en
US2440209A,1945-01-08,https://patents.google.com/patent/US2440209A/en
US2453238A,1945-01-08,https://patents.google.com/patent/US2453238A/en
US2457094A,1945-02-24,https://patents.google.com/patent/US2457094A/en
US2681172A,1945-02-03,https://patents.google.com/patent/US2681172A/en
US2553607A,1945-02-27,https://patents.google.com/patent/US2553607A/en
US2418286A,1945-02-21,https://patents.google.com/patent/US2418286A/en
US2678604A,1945-02-01,https://patents.google.com/patent/US2678604A/en
US2407641A,1945-01-10,https://patents.google.com/patent/US2407641A/en
US2497704A,1945-01-17,https://patents.google.com/patent/US2497704A/en
US2560777A,1945-01-26,https://patents.google.com/patent/US2560777A/en
US2491015A,1945-01-02,https://patents.google.com/patent/US2491015A/en
US2468872A,1945-01-01,https://patents.google.com/patent/US2468872A/en
US2422927A,1945-01-27,https://patents.google.com/patent/US2422927A/en
DE872852C,1945-01-19,https://patents.google.com/patent/DE872852C/en
US2506962A,1945-01-20,https://patents.google.com/patent/US2506962A/en
US2478182A,1945-01-16,https://patents.google.com/patent/US2478182A/en
US2476948A,1945-02-03,https://patents.google.com/patent/US2476948A/en
US2396829A,1945-01-23,https://patents.google.com/patent/US2396829A/en
US2531828A,1945-02-20,https://patents.google.com/patent/US2531828A/en
US2502771A,1945-02-05,https://patents.google.com/patent/US2502771A/en
US2581751A,1945-01-29,https://patents.google.com/patent/US2581751A/en
US2396341A,1945-02-17,https://patents.google.com/patent/US2396341A/en
US2521814A,1945-01-22,https://patents.google.com/patent/US2521814A/en
US2435446A,1945-02-01,https://patents.google.com/patent/US2435446A/en
US2465704A,1945-02-01,https://patents.google.com/patent/US2465704A/en
US2421231A,1945-02-15,https://patents.google.com/patent/US2421231A/en
US2467518A,1945-02-07,https://patents.google.com/patent/US2467518A/en
US2437246A,1945-02-14,https://patents.google.com/patent/US2437246A/en
US2403148A,1945-01-17,https://patents.google.com/patent/US2403148A/en
DE861255C,1945-02-17,https://patents.google.com/patent/DE861255C/en
DE850937C,1945-01-22,https://patents.google.com/patent/DE850937C/en
US2406052A,1945-02-19,https://patents.google.com/patent/US2406052A/en
US2449478A,1945-02-14,https://patents.google.com/patent/US2449478A/en
CH239229A,1945-01-27,https://patents.google.com/patent/CH239229A/en
CH237533A,1945-02-20,https://patents.google.com/patent/CH237533A/en
USPP661P,,https://patents.google.com/patent/USPP661P/en
USPP669P,,https://patents.google.com/patent/USPP669P/en
US2433694A,1945-01-09,https://patents.google.com/patent/US2433694A/en
US2435878A,1945-01-04,https://patents.google.com/patent/US2435878A/en
US2650018A,1945-02-23,https://patents.google.com/patent/US2650018A/en
US2392199A,1945-02-05,https://patents.google.com/patent/US2392199A/en
US2521966A,1945-01-11,https://patents.google.com/patent/US2521966A/en
US2520364A,1945-02-15,https://patents.google.com/patent/US2520364A/en
US2446562A,1945-02-26,https://patents.google.com/patent/US2446562A/en
US2516425A,1945-01-11,https://patents.google.com/patent/US2516425A/en
US2407218A,1945-02-09,https://patents.google.com/patent/US2407218A/en
US2452049A,1945-02-16,https://patents.google.com/patent/US2452049A/en
US2472819A,1945-01-26,https://patents.google.com/patent/US2472819A/en
US2510299A,1945-01-01,https://patents.google.com/patent/US2510299A/en
US2429383A,1945-01-04,https://patents.google.com/patent/US2429383A/en
US2518827A,1945-02-23,https://patents.google.com/patent/US2518827A/en
USPP671P,,https://patents.google.com/patent/USPP671P/en
US2480166A,1945-01-08,https://patents.google.com/patent/US2480166A/en
US2507248A,1945-02-22,https://patents.google.com/patent/US2507248A/en
US2429096A,1945-02-09,https://patents.google.com/patent/US2429096A/en
US2631906A,1945-01-12,https://patents.google.com/patent/US2631906A/en
US2458306A,1945-01-04,https://patents.google.com/patent/US2458306A/en
US2616254A,1945-01-04,https://patents.google.com/patent/US2616254A/en
US2526409A,1945-01-09,https://patents.google.com/patent/US2526409A/en
US2471897A,1945-01-13,https://patents.google.com/patent/US2471897A/en
CH262010A,1945-01-10,https://patents.google.com/patent/CH262010A/en
US2477570A,1945-01-05,https://patents.google.com/patent/US2477570A/en
US2479570A,1945-02-24,https://patents.google.com/patent/US2479570A/en
US2571667A,1945-01-29,https://patents.google.com/patent/US2571667A/en
DE1643326U,1945-02-26,https://patents.google.com/patent/DE1643326U/en
US2393110A,1945-02-06,https://patents.google.com/patent/US2393110A/en
US2427577A,1945-03-01,https://patents.google.com/patent/US2427577A/en
US2464086A,1945-01-27,https://patents.google.com/patent/US2464086A/en
DE1633420U,1945-01-19,https://patents.google.com/patent/DE1633420U/en
US2483036A,1945-01-13,https://patents.google.com/patent/US2483036A/en
US2458821A,1945-02-05,https://patents.google.com/patent/US2458821A/en
US2513302A,1945-02-17,https://patents.google.com/patent/US2513302A/en
US2529015A,1945-02-07,https://patents.google.com/patent/US2529015A/en
US2520845A,1945-02-03,https://patents.google.com/patent/US2520845A/en
US2499350A,1945-01-17,https://patents.google.com/patent/US2499350A/en
US2484527A,1945-02-01,https://patents.google.com/patent/US2484527A/en
US2429844A,1945-01-13,https://patents.google.com/patent/US2429844A/en
US2609868A,1945-02-24,https://patents.google.com/patent/US2609868A/en
US2517062A,1945-02-17,https://patents.google.com/patent/US2517062A/en
CH251528A,1945-02-08,https://patents.google.com/patent/CH251528A/en
US2472339A,1945-01-15,https://patents.google.com/patent/US2472339A/en
US2794507A,1945-01-18,https://patents.google.com/patent/US2794507A/en
CH244501A,1945-02-22,https://patents.google.com/patent/CH244501A/en
US2401193A,1945-02-01,https://patents.google.com/patent/US2401193A/en
US2474438A,1945-02-06,https://patents.google.com/patent/US2474438A/en
US2518068A,1945-01-10,https://patents.google.com/patent/US2518068A/en
US2416254A,1945-02-24,https://patents.google.com/patent/US2416254A/en
US2590365A,1945-02-28,https://patents.google.com/patent/US2590365A/en
US2431622A,1945-01-08,https://patents.google.com/patent/US2431622A/en
US2486556A,1945-02-05,https://patents.google.com/patent/US2486556A/en
US2497502A,1945-02-24,https://patents.google.com/patent/US2497502A/en
US2582608A,1945-01-04,https://patents.google.com/patent/US2582608A/en
US2458024A,1945-02-12,https://patents.google.com/patent/US2458024A/en
US2496941A,1945-02-26,https://patents.google.com/patent/US2496941A/en
US2531657A,1945-02-06,https://patents.google.com/patent/US2531657A/en
US2429095A,1945-02-09,https://patents.google.com/patent/US2429095A/en
US2950880A,1945-01-18,https://patents.google.com/patent/US2950880A/en
US2462734A,1945-02-26,https://patents.google.com/patent/US2462734A/en
US2462708A,1945-01-19,https://patents.google.com/patent/US2462708A/en
US2737589A,1945-02-19,https://patents.google.com/patent/US2737589A/en
US2591074A,1945-02-21,https://patents.google.com/patent/US2591074A/en
US2427576A,1945-02-22,https://patents.google.com/patent/US2427576A/en
US2465749A,1945-01-27,https://patents.google.com/patent/US2465749A/en
US2431763A,1945-02-28,https://patents.google.com/patent/US2431763A/en
US2425248A,1945-02-03,https://patents.google.com/patent/US2425248A/en
US2558179A,1945-03-01,https://patents.google.com/patent/US2558179A/en
US2583470A,1945-02-06,https://patents.google.com/patent/US2583470A/en
US2457609A,1945-02-08,https://patents.google.com/patent/US2457609A/en
US2384986A,1945-02-02,https://patents.google.com/patent/US2384986A/en
US2429097A,1945-02-09,https://patents.google.com/patent/US2429097A/en
US2421145A,1945-02-28,https://patents.google.com/patent/US2421145A/en
US2422846A,1945-01-25,https://patents.google.com/patent/US2422846A/en
DE931282C,1945-01-17,https://patents.google.com/patent/DE931282C/en
CH254426A,1945-07-30,https://patents.google.com/patent/CH254426A/en
CH252908A,1945-03-01,https://patents.google.com/patent/CH252908A/en
CH259213A,1945-02-19,https://patents.google.com/patent/CH259213A/en
CH251772A,1945-01-08,https://patents.google.com/patent/CH251772A/en
DE1678255U,1945-01-25,https://patents.google.com/patent/DE1678255U/en
CH245221A,1945-01-23,https://patents.google.com/patent/CH245221A/en
CH256369A,1945-02-03,https://patents.google.com/patent/CH256369A/en
USD143453S,,https://patents.google.com/patent/USD143453S/en
US2411796A,1945-01-01,https://patents.google.com/patent/US2411796A/en
US3093107A,1945-01-25,https://patents.google.com/patent/US3093107A/en
US2494370A,1945-02-08,https://patents.google.com/patent/US2494370A/en
US3094968A,1945-01-25,https://patents.google.com/patent/US3094968A/en
US2958279A,1945-01-19,https://patents.google.com/patent/US2958279A/en
ES169053A1,1945-02-27,https://patents.google.com/patent/ES169053A1/es
ES168744A1,1945-01-20,https://patents.google.com/patent/ES168744A1/es
ES168890A1,1945-02-08,https://patents.google.com/patent/ES168890A1/es
ES11178U,1945-02-13,https://patents.google.com/patent/ES11178U/es
ES11232U,1945-02-10,https://patents.google.com/patent/ES11232U/es
ES11001U,1945-01-03,https://patents.google.com/patent/ES11001U/es
ES11194U,1945-02-05,https://patents.google.com/patent/ES11194U/es
ES10999U,1945-01-02,https://patents.google.com/patent/ES10999U/es
ES11071U,1945-01-22,https://patents.google.com/patent/ES11071U/es
ES11140U,1945-02-03,https://patents.google.com/patent/ES11140U/es
ES11162U,1945-02-09,https://patents.google.com/patent/ES11162U/es
ES11226U,1945-02-26,https://patents.google.com/patent/ES11226U/es
ES11080U,1945-01-25,https://patents.google.com/patent/ES11080U/es
ES11077U,1945-01-24,https://patents.google.com/patent/ES11077U/es
ES11255U,1945-02-09,https://patents.google.com/patent/ES11255U/es
ES11073U,1945-01-27,https://patents.google.com/patent/ES11073U/es
ES11202U,1945-02-17,https://patents.google.com/patent/ES11202U/es
ES168671A2,1945-01-13,https://patents.google.com/patent/ES168671A2/es
ES11015U,1945-01-05,https://patents.google.com/patent/ES11015U/es
ES11274U,1945-02-13,https://patents.google.com/patent/ES11274U/es
